iter	Passed	Remaining
0	142	71309
1	144	36044
2	146	24261
3	148	18369
4	149	14825
5	151	12463
6	152	10769
7	154	9515
8	156	8540
9	158	7768
10	160	7131
11	162	6603
12	164	6171
13	166	5794
14	169	5467
15	171	5176
16	172	4914
17	174	4683
18	176	4480
19	178	4289
20	180	4117
21	182	3965
22	185	3838
23	188	3742
24	190	3616
25	191	3492
26	193	3382
27	194	3281
28	196	3186
29	198	3103
30	199	3019
31	200	2939
32	202	2862
33	203	2788
34	204	2719
35	206	2656
36	207	2597
37	209	2541
38	210	2485
39	211	2432
40	213	2386
41	214	2343
42	216	2299
43	217	2255
44	218	2213
45	220	2173
46	221	2134
47	222	2097
48	223	2060
49	225	2027
50	227	1999
51	228	1967
52	229	1936
53	230	1906
54	232	1878
55	233	1853
56	235	1829
57	236	1805
58	238	1781
59	239	1757
60	240	1733
61	242	1713
62	244	1692
63	245	1674
64	247	1653
65	248	1633
66	249	1613
67	250	1594
68	252	1575
69	253	1557
70	254	1539
71	256	1524
72	257	1507
73	259	1491
74	260	1474
75	261	1458
76	262	1443
77	263	1428
78	265	1414
79	266	1399
80	267	1385
81	268	1371
82	270	1358
83	272	1347
84	273	1334
85	274	1321
86	275	1309
87	277	1296
88	278	1285
89	279	1273
90	280	1261
91	281	1249
92	283	1238
93	284	1229
94	286	1220
95	287	1210
96	288	1200
97	290	1191
98	292	1182
99	293	1173
100	294	1163
101	295	1154
102	297	1145
103	298	1136
104	299	1128
105	301	1120
106	302	1111
107	303	1103
108	305	1094
109	306	1086
110	307	1077
111	308	1069
112	310	1063
113	311	1055
114	313	1047
115	314	1040
116	315	1032
117	316	1025
118	318	1019
119	319	1012
120	321	1005
121	322	998
122	323	992
123	325	985
124	326	979
125	327	972
126	329	967
127	330	961
128	331	954
129	333	948
130	334	941
131	335	935
132	336	929
133	338	924
134	339	918
135	340	912
136	342	908
137	344	904
138	346	899
139	347	894
140	349	889
141	350	883
142	351	877
143	352	871
144	353	866
145	355	861
146	357	858
147	358	852
148	359	847
149	361	843
150	362	837
151	363	832
152	364	827
153	366	822
154	367	817
155	368	813
156	370	808
157	371	804
158	372	799
159	374	795
160	376	792
161	377	787
162	378	783
163	379	778
164	381	774
165	382	769
166	383	765
167	385	761
168	386	757
169	387	752
170	389	748
171	390	744
172	391	740
173	392	735
174	394	731
175	395	727
176	396	724
177	397	719
178	399	716
179	401	713
180	402	709
181	404	706
182	405	702
183	406	698
184	408	695
185	409	691
186	410	687
187	412	684
188	414	682
189	416	679
190	417	676
191	419	672
192	420	669
193	429	678
194	431	674
195	432	671
196	434	667
197	435	663
198	437	661
199	438	657
200	439	654
201	441	650
202	442	647
203	443	643
204	444	640
205	445	636
206	447	633
207	448	629
208	449	625
209	450	622
210	452	619
211	453	615
212	454	612
213	455	608
214	456	605
215	457	601
216	459	598
217	460	595
218	461	592
219	462	588
220	463	585
221	465	582
222	466	579
223	467	576
224	468	573
225	470	569
226	471	566
227	472	563
228	473	560
229	475	557
230	476	554
231	477	551
232	478	548
233	479	545
234	481	542
235	482	539
236	483	536
237	484	533
238	485	530
239	487	527
240	488	525
241	489	522
242	490	519
243	492	516
244	493	513
245	494	510
246	495	507
247	497	505
248	498	502
249	499	499
250	500	496
251	502	494
252	503	491
253	504	488
254	506	486
255	507	483
256	508	480
257	509	478
258	510	475
259	512	472
260	513	470
261	514	467
262	515	464
263	517	462
264	518	460
265	519	457
266	521	454
267	522	452
268	523	449
269	524	447
270	526	444
271	527	442
272	528	439
273	529	436
274	530	434
275	532	431
276	533	429
277	534	427
278	535	424
279	537	422
280	538	419
281	539	417
282	540	414
283	541	412
284	543	409
285	544	407
286	545	405
287	547	402
288	548	400
289	549	397
290	550	395
291	551	393
292	553	390
293	554	388
294	555	386
295	556	383
296	557	381
297	559	378
298	560	376
299	561	374
300	562	372
301	564	369
302	565	367
303	566	365
304	567	363
305	569	360
306	570	358
307	571	356
308	572	354
309	574	352
310	575	349
311	576	347
312	578	345
313	579	343
314	580	340
315	581	338
316	582	336
317	584	334
318	585	332
319	586	330
320	588	327
321	589	325
322	590	323
323	591	321
324	592	319
325	594	317
326	595	315
327	596	312
328	597	310
329	599	308
330	600	306
331	601	304
332	602	302
333	604	300
334	605	298
335	607	296
336	608	294
337	609	292
338	611	290
339	612	288
340	613	286
341	614	284
342	616	282
343	617	280
344	619	278
345	620	276
346	622	274
347	623	272
348	624	270
349	626	268
350	627	266
351	628	264
352	630	262
353	631	260
354	633	258
355	634	256
356	635	254
357	637	252
358	639	251
359	642	249
360	643	247
361	645	245
362	646	244
363	648	242
364	649	240
365	651	238
366	652	236
367	653	234
368	655	232
369	657	230
370	659	229
371	660	227
372	662	225
373	664	223
374	665	221
375	667	219
376	668	218
377	670	216
378	672	214
379	675	213
380	677	211
381	679	209
382	680	207
383	682	206
384	683	204
385	685	202
386	686	200
387	687	198
388	689	196
389	691	194
390	692	193
391	693	191
392	695	189
393	696	187
394	698	185
395	699	183
396	700	181
397	701	179
398	703	178
399	704	176
400	706	174
401	707	172
402	709	170
403	710	168
404	712	167
405	713	165
406	715	163
407	716	161
408	718	159
409	719	157
410	720	156
411	722	154
412	723	152
413	725	150
414	726	148
415	727	146
416	729	145
417	730	143
418	732	141
419	733	139
420	735	138
421	736	136
422	738	134
423	739	132
424	741	130
425	743	129
426	744	127
427	745	125
428	747	123
429	749	121
430	750	120
431	751	118
432	752	116
433	754	114
434	755	112
435	756	111
436	758	109
437	759	107
438	760	105
439	762	103
440	763	102
441	765	100
442	766	98
443	767	96
444	769	95
445	770	93
446	771	91
447	772	89
448	774	87
449	775	86
450	777	84
451	778	82
452	780	80
453	781	79
454	782	77
455	784	75
456	785	73
457	786	72
458	788	70
459	789	68
460	791	66
461	792	65
462	793	63
463	795	61
464	796	59
465	797	58
466	799	56
467	800	54
468	802	53
469	803	51
470	804	49
471	806	47
472	807	46
473	809	44
474	810	42
475	812	40
476	813	39
477	814	37
478	816	35
479	817	34
480	818	32
481	820	30
482	822	28
483	823	27
484	825	25
485	826	23
486	828	22
487	829	20
488	830	18
489	832	16
490	833	15
491	834	13
492	836	11
493	837	10
494	839	8
495	840	6
496	841	5
497	842	3
498	844	1
499	845	0
